Branch Name,Branch Phone,Ponedjeljak_start,Utorak_start,Srijeda_start,Četvrtak_start,Petak_start,Subota_start,Nedjelja_start,Ponedjeljak_end,Utorak_end,Srijeda_end,Četvrtak_end,Petak_end,Subota_end,Nedjelja_end
zagreb-sopot,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zagreb-city-center-one-west,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zagreb-garden-mall,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zagreb-arena-centar,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zagreb-city-center-one-east,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
